Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1.0,2023-11-24,CUST001,Male,34.0,Beauty,3.0,50.0,150.0
2.0,2023-02-27,CUST002,Female,26.0,Clothing,2.0,500.0,1000.0
3.0,2023-01-13,CUST003,Male,50.0,Electronics,1.0,30.0,30.0
4.0,2023-05-21,CUST004,Male,37.0,Clothing,1.0,500.0,500.0
5.0,2023-05-06,CUST005,Male,30.0,Beauty,2.0,50.0,100.0
6.0,2023-04-25,CUST006,Female,45.0,Beauty,1.0,30.0,30.0
7.0,2023-03-13,CUST007,Male,46.0,Clothing,2.0,25.0,50.0
8.0,2023-02-22,CUST008,Male,30.0,Electronics,4.0,25.0,100.0
9.0,2023-12-13,CUST009,Male,63.0,Electronics,2.0,300.0,600.0
10.0,2023-10-07,CUST010,Female,52.0,Clothing,4.0,50.0,200.0
11.0,2023-02-14,CUST011,Male,23.0,Clothing,2.0,50.0,100.0
12.0,2023-10-30,CUST012,Male,35.0,Beauty,3.0,25.0,75.0
13.0,2023-08-05,CUST013,Male,22.0,Electronics,3.0,500.0,1500.0
14.0,2023-01-17,CUST014,Male,64.0,Clothing,4.0,30.0,120.0
15.0,2023-01-16,CUST015,Female,42.0,Electronics,4.0,500.0,2000.0
16.0,2023-02-17,CUST016,Male,19.0,Clothing,3.0,500.0,1500.0
17.0,2023-04-22,CUST017,Female,27.0,Clothing,4.0,25.0,100.0
18.0,2023-04-30,CUST018,Female,47.0,Electronics,2.0,25.0,50.0
19.0,2023-09-16,CUST019,Female,62.0,Clothing,2.0,25.0,50.0
20.0,2023-11-05,CUST020,Male,22.0,Clothing,3.0,300.0,900.0
21.0,2023-01-14,CUST021,Female,50.0,Beauty,1.0,500.0,500.0
22.0,2023-10-15,CUST022,Male,18.0,Clothing,2.0,50.0,100.0
23.0,2023-04-12,CUST023,Female,35.0,Clothing,4.0,30.0,120.0
24.0,2023-11-29,CUST024,Female,49.0,Clothing,1.0,300.0,300.0
25.0,2023-12-26,CUST025,Female,64.0,Beauty,1.0,50.0,50.0
26.0,2023-10-07,CUST026,Female,28.0,Electronics,2.0,500.0,1000.0
27.0,2023-08-03,CUST027,Female,38.0,Beauty,2.0,25.0,50.0
28.0,2023-04-23,CUST028,Female,43.0,Beauty,1.0,500.0,500.0
29.0,2023-08-18,CUST029,Female,42.0,Electronics,1.0,30.0,30.0
30.0,2023-10-29,CUST030,Female,39.0,Beauty,3.0,300.0,900.0
31.0,2023-05-23,CUST031,Male,44.0,Electronics,4.0,300.0,1200.0
32.0,2023-01-04,CUST032,Male,30.0,Beauty,3.0,30.0,90.0
33.0,2023-03-23,CUST033,Female,50.0,Electronics,2.0,50.0,100.0
34.0,2023-12-24,CUST034,Female,51.0,Clothing,3.0,50.0,150.0
35.0,2023-08-05,CUST035,Female,58.0,Beauty,3.0,300.0,900.0
36.0,2023-06-24,CUST036,Male,52.0,Beauty,3.0,300.0,900.0
37.0,2023-05-23,CUST037,Female,18.0,Beauty,3.0,25.0,75.0
38.0,2023-03-21,CUST038,Male,38.0,Beauty,4.0,50.0,200.0
39.0,2023-04-21,CUST039,Male,23.0,Clothing,4.0,30.0,120.0
40.0,2023-06-22,CUST040,Male,45.0,Beauty,1.0,50.0,50.0
41.0,2023-02-22,CUST041,Male,34.0,Clothing,2.0,25.0,50.0
42.0,2023-02-17,CUST042,Male,22.0,Clothing,3.0,300.0,900.0
43.0,2023-07-14,CUST043,Female,48.0,Clothing,1.0,300.0,300.0
44.0,2023-02-19,CUST044,Female,22.0,Clothing,1.0,25.0,25.0
45.0,2023-07-03,CUST045,Female,55.0,Electronics,1.0,30.0,30.0
46.0,2023-06-26,CUST046,Female,20.0,Electronics,4.0,300.0,1200.0
47.0,2023-11-06,CUST047,Female,40.0,Beauty,3.0,500.0,1500.0
48.0,2023-05-16,CUST048,Male,54.0,Electronics,3.0,300.0,900.0
49.0,2023-01-23,CUST049,Female,54.0,Electronics,2.0,500.0,1000.0
50.0,2023-08-24,CUST050,Female,27.0,Beauty,3.0,25.0,75.0
51.0,2023-10-02,CUST051,Male,27.0,Beauty,3.0,25.0,75.0
52.0,2023-03-05,CUST052,Female,36.0,Beauty,1.0,300.0,300.0
53.0,2023-07-13,CUST053,Male,34.0,Electronics,2.0,50.0,100.0
54.0,2023-02-10,CUST054,Female,38.0,Electronics,3.0,500.0,1500.0
55.0,2023-10-10,CUST055,Male,31.0,Beauty,4.0,30.0,120.0
56.0,2023-05-31,CUST056,Female,26.0,Clothing,3.0,300.0,900.0
57.0,2023-11-18,CUST057,Female,63.0,Beauty,1.0,30.0,30.0
58.0,2023-11-13,CUST058,Male,18.0,Clothing,4.0,300.0,1200.0
59.0,2023-07-05,CUST059,Male,62.0,Clothing,1.0,50.0,50.0
60.0,2023-10-23,CUST060,Male,30.0,Beauty,3.0,50.0,150.0
61.0,2023-04-09,CUST061,Male,21.0,Beauty,4.0,50.0,200.0
62.0,2023-12-27,CUST062,Male,18.0,Beauty,2.0,50.0,100.0
63.0,2023-02-05,CUST063,Male,57.0,Electronics,2.0,25.0,50.0
64.0,2023-01-24,CUST064,Male,49.0,Clothing,4.0,25.0,100.0
65.0,2023-12-05,CUST065,Male,51.0,Electronics,4.0,500.0,2000.0
66.0,2023-04-27,CUST066,Female,45.0,Electronics,1.0,30.0,30.0
67.0,2023-05-29,CUST067,Female,48.0,Beauty,4.0,300.0,1200.0
68.0,2023-02-10,CUST068,Male,25.0,Electronics,1.0,300.0,300.0
69.0,2023-04-30,CUST069,Female,56.0,Beauty,3.0,25.0,75.0
70.0,2023-02-21,CUST070,Female,43.0,Clothing,1.0,300.0,300.0
71.0,2023-07-14,CUST071,Female,51.0,Beauty,4.0,25.0,100.0
72.0,2023-05-23,CUST072,Female,20.0,Electronics,4.0,500.0,2000.0
73.0,2023-08-21,CUST073,Male,29.0,Electronics,3.0,30.0,90.0
74.0,2023-11-22,CUST074,Female,18.0,Beauty,4.0,500.0,2000.0
75.0,2023-07-06,CUST075,Male,61.0,Beauty,4.0,50.0,200.0
76.0,2023-03-25,CUST076,Female,22.0,Electronics,2.0,50.0,100.0
77.0,2023-07-09,CUST077,Female,47.0,Clothing,2.0,50.0,100.0
78.0,2023-07-01,CUST078,Female,47.0,Clothing,3.0,500.0,1500.0
79.0,2023-04-18,CUST079,Male,34.0,Beauty,1.0,300.0,300.0
80.0,2023-12-10,CUST080,Female,64.0,Clothing,2.0,30.0,60.0
81.0,2023-05-17,CUST081,Male,40.0,Electronics,1.0,50.0,50.0
82.0,2023-12-26,CUST082,Female,32.0,Beauty,4.0,50.0,200.0
83.0,2023-12-16,CUST083,Male,54.0,Electronics,2.0,50.0,100.0
84.0,2023-11-28,CUST084,Female,38.0,Electronics,3.0,30.0,90.0
85.0,2023-02-06,CUST085,Male,31.0,Clothing,3.0,50.0,150.0
86.0,2023-11-08,CUST086,Male,19.0,Beauty,3.0,30.0,90.0
87.0,2023-11-22,CUST087,Female,28.0,Beauty,2.0,50.0,100.0
88.0,2023-03-29,CUST088,Male,56.0,Clothing,1.0,500.0,500.0
89.0,2023-10-01,CUST089,Female,55.0,Electronics,4.0,500.0,2000.0
90.0,2023-05-06,CUST090,Female,51.0,Electronics,1.0,30.0,30.0
91.0,2023-03-25,CUST091,Female,55.0,Electronics,1.0,500.0,500.0
92.0,2023-08-25,CUST092,Female,51.0,Electronics,4.0,30.0,120.0
93.0,2023-07-14,CUST093,Female,35.0,Beauty,4.0,500.0,2000.0
94.0,2023-05-19,CUST094,Female,47.0,Beauty,2.0,500.0,1000.0
95.0,2023-11-24,CUST095,Female,32.0,Clothing,2.0,30.0,60.0
96.0,2023-12-19,CUST096,Female,44.0,Clothing,2.0,300.0,600.0
97.0,2023-10-13,CUST097,Female,51.0,Beauty,2.0,500.0,1000.0
98.0,2023-04-23,CUST098,Female,55.0,Beauty,2.0,50.0,100.0
99.0,2023-12-17,CUST099,Female,50.0,Electronics,4.0,300.0,1200.0
100.0,2023-06-16,CUST100,Male,41.0,Electronics,1.0,30.0,30.0
101.0,2023-01-29,CUST101,Male,32.0,Clothing,2.0,300.0,600.0
102.0,2023-04-28,CUST102,Female,47.0,Beauty,2.0,25.0,50.0
103.0,2023-01-17,CUST103,Female,59.0,Clothing,1.0,25.0,25.0
104.0,2023-06-11,CUST104,Female,34.0,Beauty,2.0,500.0,1000.0
105.0,2023-07-25,CUST105,Female,22.0,Electronics,1.0,500.0,500.0
106.0,2023-05-18,CUST106,Female,46.0,Clothing,1.0,50.0,50.0
107.0,2023-02-03,CUST107,Female,21.0,Clothing,4.0,300.0,1200.0
108.0,2023-04-19,CUST108,Female,27.0,Beauty,3.0,25.0,75.0
109.0,2023-10-18,CUST109,Female,34.0,Electronics,4.0,500.0,2000.0
110.0,2023-06-11,CUST110,Male,27.0,Clothing,3.0,300.0,900.0
111.0,2023-04-19,CUST111,Female,34.0,Electronics,3.0,500.0,1500.0
112.0,2023-12-02,CUST112,Male,37.0,Clothing,3.0,500.0,1500.0
113.0,2023-09-13,CUST113,Female,41.0,Electronics,2.0,25.0,50.0
114.0,2023-07-22,CUST114,Female,22.0,Beauty,4.0,25.0,100.0
115.0,2023-11-26,CUST115,Male,51.0,Clothing,3.0,500.0,1500.0
116.0,2023-08-23,CUST116,Female,23.0,Clothing,1.0,30.0,30.0
117.0,2023-03-15,CUST117,Male,19.0,Electronics,2.0,500.0,1000.0
118.0,2023-05-16,CUST118,Female,30.0,Electronics,4.0,500.0,2000.0
119.0,2023-03-13,CUST119,Female,60.0,Clothing,3.0,50.0,150.0
120.0,2023-05-07,CUST120,Male,60.0,Beauty,1.0,50.0,50.0
121.0,2023-10-15,CUST121,Female,28.0,Electronics,4.0,50.0,200.0
122.0,2023-10-03,CUST122,Male,64.0,Electronics,4.0,30.0,120.0
123.0,2023-05-15,CUST123,Female,40.0,Electronics,2.0,30.0,60.0
124.0,2023-10-27,CUST124,Male,33.0,Clothing,4.0,500.0,2000.0
125.0,2023-08-08,CUST125,Male,48.0,Clothing,2.0,50.0,100.0
126.0,2023-10-26,CUST126,Female,28.0,Clothing,3.0,30.0,90.0
127.0,2023-07-24,CUST127,Female,33.0,Clothing,2.0,25.0,50.0
128.0,2023-07-05,CUST128,Male,25.0,Beauty,1.0,500.0,500.0
129.0,2023-04-23,CUST129,Female,21.0,Beauty,2.0,300.0,600.0
130.0,2023-03-12,CUST130,Female,57.0,Clothing,1.0,500.0,500.0
131.0,2023-09-18,CUST131,Female,21.0,Beauty,2.0,300.0,600.0
132.0,2023-09-10,CUST132,Male,42.0,Electronics,4.0,50.0,200.0
133.0,2023-02-16,CUST133,Male,20.0,Electronics,3.0,300.0,900.0
134.0,2023-01-25,CUST134,Male,49.0,Electronics,1.0,50.0,50.0
135.0,2023-02-26,CUST135,Male,20.0,Clothing,2.0,25.0,50.0
136.0,2023-03-20,CUST136,Male,44.0,Electronics,2.0,300.0,600.0
137.0,2023-11-18,CUST137,Male,46.0,Beauty,2.0,500.0,1000.0
138.0,2023-03-23,CUST138,Male,49.0,Clothing,4.0,50.0,200.0
139.0,2023-12-15,CUST139,Male,36.0,Beauty,4.0,500.0,2000.0
140.0,2023-08-05,CUST140,Male,38.0,Electronics,1.0,30.0,30.0
141.0,2023-11-02,CUST141,Female,22.0,Electronics,1.0,50.0,50.0
142.0,2023-02-02,CUST142,Male,35.0,Electronics,4.0,300.0,1200.0
143.0,2023-07-17,CUST143,Female,45.0,Clothing,1.0,50.0,50.0
144.0,2023-07-15,CUST144,Female,59.0,Beauty,3.0,500.0,1500.0
145.0,2023-11-02,CUST145,Female,39.0,Clothing,3.0,25.0,75.0
146.0,2023-08-28,CUST146,Male,38.0,Clothing,4.0,50.0,200.0
147.0,2023-09-28,CUST147,Male,23.0,Electronics,1.0,300.0,300.0
148.0,2023-05-09,CUST148,Male,18.0,Clothing,2.0,30.0,60.0
149.0,2023-10-11,CUST149,Male,22.0,Clothing,3.0,25.0,75.0
150.0,2023-01-06,CUST150,Female,58.0,Electronics,4.0,30.0,120.0
151.0,2023-12-15,CUST151,Male,29.0,Clothing,1.0,50.0,50.0
152.0,2023-02-28,CUST152,Male,43.0,Electronics,4.0,500.0,2000.0
153.0,2023-12-16,CUST153,Male,63.0,Electronics,2.0,500.0,1000.0
154.0,2023-10-02,CUST154,Male,51.0,Electronics,3.0,300.0,900.0
155.0,2023-05-17,CUST155,Male,31.0,Electronics,4.0,500.0,2000.0
156.0,2023-11-25,CUST156,Female,43.0,Clothing,4.0,25.0,100.0
157.0,2023-06-24,CUST157,Male,62.0,Electronics,4.0,500.0,2000.0
158.0,2023-02-27,CUST158,Female,44.0,Electronics,2.0,300.0,600.0
159.0,2023-05-31,CUST159,Male,26.0,Clothing,4.0,50.0,200.0
160.0,2023-08-11,CUST160,Female,43.0,Clothing,2.0,50.0,100.0
161.0,2023-03-22,CUST161,Male,64.0,Beauty,2.0,500.0,1000.0
162.0,2023-08-21,CUST162,Male,39.0,Clothing,2.0,30.0,60.0
163.0,2023-01-02,CUST163,Female,64.0,Clothing,3.0,50.0,150.0
164.0,2023-05-15,CUST164,Female,47.0,Beauty,3.0,500.0,1500.0
165.0,2023-09-14,CUST165,Female,60.0,Clothing,4.0,300.0,1200.0
166.0,2023-04-02,CUST166,Male,34.0,Clothing,4.0,500.0,2000.0
167.0,2023-09-17,CUST167,Female,43.0,Clothing,3.0,50.0,150.0
168.0,2023-02-24,CUST168,Male,53.0,Clothing,1.0,300.0,300.0
169.0,2023-11-17,CUST169,Male,18.0,Beauty,3.0,500.0,1500.0
170.0,2023-06-02,CUST170,Female,25.0,Clothing,2.0,25.0,50.0
171.0,2023-11-24,CUST171,Female,52.0,Clothing,3.0,300.0,900.0
172.0,2023-09-17,CUST172,Male,32.0,Beauty,2.0,25.0,50.0
173.0,2023-11-08,CUST173,Male,64.0,Electronics,4.0,30.0,120.0
174.0,2023-04-12,CUST174,Female,39.0,Beauty,1.0,300.0,300.0
175.0,2023-03-20,CUST175,Female,31.0,Electronics,4.0,25.0,100.0
176.0,2023-07-11,CUST176,Female,43.0,Beauty,2.0,50.0,100.0
177.0,2023-03-24,CUST177,Male,45.0,Beauty,2.0,50.0,100.0
178.0,2023-10-04,CUST178,Male,40.0,Clothing,2.0,30.0,60.0
179.0,2023-09-29,CUST179,Male,31.0,Electronics,1.0,300.0,300.0
180.0,2023-01-01,CUST180,Male,41.0,Clothing,3.0,300.0,900.0
181.0,2023-11-03,CUST181,Male,19.0,Electronics,4.0,300.0,1200.0
182.0,2023-06-15,CUST182,Male,62.0,Beauty,4.0,30.0,120.0
183.0,2023-09-08,CUST183,Female,43.0,Beauty,3.0,300.0,900.0
184.0,2023-01-10,CUST184,Male,31.0,Electronics,4.0,50.0,200.0
185.0,2023-02-27,CUST185,Male,24.0,Clothing,1.0,25.0,25.0
186.0,2023-07-05,CUST186,Male,20.0,Clothing,4.0,50.0,200.0
187.0,2023-06-07,CUST187,Female,64.0,Clothing,2.0,50.0,100.0
188.0,2023-05-03,CUST188,Male,40.0,Clothing,3.0,25.0,75.0
189.0,2023-01-30,CUST189,Male,63.0,Beauty,1.0,50.0,50.0
190.0,2023-05-04,CUST190,Female,60.0,Beauty,3.0,30.0,90.0
191.0,2023-10-18,CUST191,Male,64.0,Beauty,1.0,25.0,25.0
192.0,2023-02-10,CUST192,Male,62.0,Beauty,2.0,50.0,100.0
193.0,2023-02-13,CUST193,Male,35.0,Beauty,3.0,500.0,1500.0
194.0,2023-09-06,CUST194,Male,55.0,Clothing,4.0,50.0,200.0
195.0,2023-02-05,CUST195,Male,52.0,Clothing,1.0,30.0,30.0
196.0,2023-09-30,CUST196,Female,32.0,Clothing,3.0,300.0,900.0
197.0,2023-03-06,CUST197,Female,42.0,Clothing,4.0,50.0,200.0
198.0,2023-03-07,CUST198,Female,54.0,Beauty,3.0,300.0,900.0
199.0,2023-12-04,CUST199,Male,45.0,Beauty,3.0,500.0,1500.0
200.0,2023-09-01,CUST200,Male,27.0,Beauty,3.0,50.0,150.0
201.0,2023-10-09,CUST201,Male,56.0,Electronics,1.0,25.0,25.0
202.0,2023-03-26,CUST202,Female,34.0,Clothing,4.0,300.0,1200.0
203.0,2023-05-16,CUST203,Male,56.0,Clothing,2.0,500.0,1000.0
204.0,2023-09-28,CUST204,Male,39.0,Beauty,1.0,25.0,25.0
205.0,2023-11-07,CUST205,Female,43.0,Clothing,1.0,25.0,25.0
206.0,2023-08-05,CUST206,Male,61.0,Clothing,1.0,25.0,25.0
207.0,2023-04-19,CUST207,Female,42.0,Beauty,2.0,25.0,50.0
208.0,2023-10-04,CUST208,Female,34.0,Electronics,4.0,50.0,200.0
209.0,2023-12-20,CUST209,Female,30.0,Electronics,4.0,50.0,200.0
210.0,2023-04-13,CUST210,Male,37.0,Electronics,4.0,50.0,200.0
211.0,2024-01-01,CUST211,Male,42.0,Beauty,3.0,500.0,1500.0
212.0,2023-06-09,CUST212,Male,21.0,Clothing,3.0,500.0,1500.0
213.0,2023-07-24,CUST213,Male,27.0,Beauty,3.0,500.0,1500.0
214.0,2023-12-10,CUST214,Male,20.0,Beauty,2.0,30.0,60.0
215.0,2023-11-29,CUST215,Male,58.0,Clothing,3.0,500.0,1500.0
216.0,2023-07-11,CUST216,Male,62.0,Electronics,2.0,50.0,100.0
217.0,2023-08-13,CUST217,Female,35.0,Electronics,4.0,50.0,200.0
218.0,2023-09-22,CUST218,Male,64.0,Beauty,3.0,30.0,90.0
219.0,2023-08-20,CUST219,Female,53.0,Electronics,3.0,30.0,90.0
220.0,2023-03-03,CUST220,Male,64.0,Beauty,1.0,500.0,500.0
221.0,2023-05-07,CUST221,Male,39.0,Beauty,2.0,300.0,600.0
222.0,2023-04-26,CUST222,Male,51.0,Clothing,4.0,30.0,120.0
223.0,2023-02-02,CUST223,Female,64.0,Clothing,1.0,25.0,25.0
224.0,2023-06-23,CUST224,Female,25.0,Clothing,1.0,50.0,50.0
225.0,2023-01-11,CUST225,Female,57.0,Beauty,4.0,25.0,100.0
226.0,2023-10-29,CUST226,Female,61.0,Clothing,1.0,50.0,50.0
227.0,2023-10-11,CUST227,Male,36.0,Electronics,2.0,50.0,100.0
228.0,2023-04-28,CUST228,Female,59.0,Electronics,2.0,30.0,60.0
229.0,2023-10-29,CUST229,Male,58.0,Beauty,3.0,30.0,90.0
230.0,2023-04-23,CUST230,Male,54.0,Beauty,1.0,25.0,25.0
231.0,2023-01-04,CUST231,Female,23.0,Clothing,3.0,50.0,150.0
232.0,2023-02-06,CUST232,Female,43.0,Beauty,1.0,25.0,25.0
233.0,2023-12-29,CUST233,Female,51.0,Beauty,2.0,300.0,600.0
234.0,2023-11-20,CUST234,Female,62.0,Electronics,2.0,25.0,50.0
235.0,2023-01-31,CUST235,Female,23.0,Electronics,2.0,500.0,1000.0
236.0,2023-04-28,CUST236,Female,54.0,Clothing,1.0,25.0,25.0
237.0,2023-02-04,CUST237,Female,50.0,Beauty,2.0,500.0,1000.0
238.0,2023-01-17,CUST238,Female,39.0,Beauty,1.0,500.0,500.0
239.0,2023-06-19,CUST239,Male,38.0,Electronics,3.0,500.0,1500.0
240.0,2023-02-06,CUST240,Female,23.0,Beauty,1.0,300.0,300.0
241.0,2023-09-21,CUST241,Female,23.0,Electronics,3.0,25.0,75.0
242.0,2023-05-02,CUST242,Male,21.0,Clothing,1.0,25.0,25.0
243.0,2023-05-23,CUST243,Female,47.0,Electronics,3.0,300.0,900.0
244.0,2023-12-09,CUST244,Male,28.0,Beauty,2.0,50.0,100.0
245.0,2023-09-06,CUST245,Male,47.0,Clothing,3.0,30.0,90.0
246.0,2023-04-20,CUST246,Female,48.0,Electronics,2.0,25.0,50.0
247.0,2023-10-04,CUST247,Male,41.0,Electronics,2.0,30.0,60.0
248.0,2023-03-09,CUST248,Male,26.0,Clothing,3.0,300.0,900.0
249.0,2023-10-20,CUST249,Male,20.0,Clothing,1.0,50.0,50.0
250.0,2023-10-23,CUST250,Male,48.0,Electronics,1.0,50.0,50.0
